Section,X,Y,Z,R
Section-{0},65.408948,63.690596,0,8
Section-{0},10.082133,41.693907,0,4.375
Section-{1},65.408948,63.690228,0,8
Section-{1},10.082132,40.288857,0,4.375
Section-{2},65.408948,63.688344,0,8
Section-{2},10.08213,39.285477,0,4.375
Section-{3},65.408948,63.691962,0,8
Section-{3},10.082139,38.654272,0,4.375
Section-{4},65.408948,63.686064,0,8
Section-{4},10.082159,38.36009,0,4.375
Section-{5},65.408947,63.692365,0,8
Section-{5},10.082174,38.413142,0,4.375
Section-{6},65.408948,63.689478,0,8
Section-{6},10.082196,38.720377,0,4.375
Section-{7},65.408948,63.689696,0,8
Section-{7},10.082214,39.186475,0,4.375
Section-{8},65.408947,63.688186,0,8
Section-{8},10.082227,39.797709,0,4.375
Section-{9},65.408949,63.69204,0,8
Section-{9},10.082258,40.52607,0,4.375
Section-{10},65.408947,63.689229,0,8
Section-{10},10.082269,41.290486,0,4.375
Section-{11},65.408948,63.68858,0,8
Section-{11},10.082281,42.084443,0,4.375
Section-{12},65.408948,63.689727,0,8
Section-{12},10.082301,42.906137,0,4.375
Section-{13},65.408952,63.690076,0,8
Section-{13},10.082316,43.687625,0,4.375
Section-{14},65.408924,63.689659,0,8
Section-{14},10.082326,44.444329,0,4.375
Section-{15},65.408993,63.690284,0,8
Section-{15},10.082381,45.177773,0,4.375
Section-{16},65.408901,63.688543,0,8
Section-{16},10.082121,45.884234,0,4.375
Section-{17},65.40897,63.691072,0,8
Section-{17},10.082129,46.573794,0,4.375
Section-{18},65.408959,63.690774,0,8
Section-{18},10.082411,47.244838,0,4.375
Section-{19},65.408918,63.678573,0,8
Section-{19},10.08238,47.924377,0,4.375
Section-{20},65.408993,63.725069,0,8
Section-{20},10.082403,48.612812,0,4.375
Section-{21},65.408892,63.636728,0,8
Section-{21},10.082445,49.31519,0,4.375
Section-{22},65.408988,63.715005,0,8
Section-{22},10.082591,50.16763,0,4.375
Section-{23},65.40894,63.68693,0,8
Section-{23},10.082391,50.094509,0,4.375
Section-{24},65.408944,63.688418,0,8
Section-{24},10.082476,48.592237,0,4.375
Section-{25},65.408948,63.6897,0,8
Section-{25},10.07984,72.187847,0,4.375
Section-{26},65.408948,63.689577,0,8
Section-{26},10.080441,69.043439,0,4.375
Section-{27},65.408949,63.689785,0,8
Section-{27},10.081235,66.270062,0,4.375
Section-{28},65.408948,63.689812,0,8
Section-{28},10.081893,63.977636,0,4.375
Section-{29},65.408948,63.690343,0,8
Section-{29},10.082405,62.12921,0,4.375
Section-{30},65.408949,63.688414,0,8
Section-{30},10.08278,60.705438,0,4.375
Section-{31},65.408948,63.690452,0,8
Section-{31},10.083039,59.69753,0,4.375
Section-{32},65.408948,63.692353,0,8
Section-{32},10.083196,58.967741,0,4.375
Section-{33},65.408949,63.687198,0,8
Section-{33},10.083322,58.362505,0,4.375
Section-{34},65.408948,63.69103,0,8
Section-{34},10.083418,57.894635,0,4.375
Section-{35},65.408949,63.689333,0,8
Section-{35},10.083487,57.562777,0,4.375
Section-{36},65.408948,63.689723,0,8
Section-{36},10.083533,57.360924,0,4.375
Section-{37},65.408948,63.689727,0,8
Section-{37},10.083555,57.297695,0,4.375
Section-{38},65.408948,63.690329,0,8
Section-{38},10.083534,57.382158,0,4.375
Section-{39},65.408949,63.689107,0,8
Section-{39},10.083534,57.421295,0,4.375
Section-{40},65.408948,63.689841,0,8
Section-{40},10.083565,57.317245,0,4.375
Section-{41},65.408949,63.689687,0,8
Section-{41},10.0836,57.146347,0,4.375
Section-{42},65.408948,63.689807,0,8
Section-{42},10.08362,57.019061,0,4.375
Section-{43},65.408948,63.689855,0,8
Section-{43},10.083636,56.951211,0,4.375
Section-{44},65.408948,63.688445,0,8
Section-{44},10.083653,56.917248,0,4.375
Section-{45},65.408947,63.692689,0,8
Section-{45},10.083663,56.92133,0,4.375
Section-{46},65.40895,63.6881,0,8
Section-{46},10.083667,56.974843,0,4.375
Section-{47},65.408945,63.690036,0,8
Section-{47},10.083647,57.131381,0,4.375
Section-{48},65.408953,63.68961,0,8
Section-{48},10.083599,57.402983,0,4.375
Section-{49},65.408947,63.689732,0,8
Section-{49},10.083495,57.793803,0,4.375
